passenger_id,survived,pclass,name,sex,age,Depart date,Arrive date,t_no,fare,cabin_no,embarked
TL-CU-251001,1,1st,Simon Dull,male,41,02-12-2012,12-May-16,A31021,"£35,000.00",PVT-21,Southampton
TL-CU-251002,3,3rd,Jenesis Mack,Male,43,03-12-2012,13-May-16,C21544,"£75,818.00",GEN-64,Cherbourg
TL-CU-251003,5,2nd,Esteban Phan,Female,30,04-12-2012,14-May-16,V54124,"£43,258.00",PVT-54,Southampton
TL-CU-251004,3,1st,Elsa Oliver,Male,35,05-12-2012,15-May-16,K26487,"£44,455.00",CLS-21,Manchester
TL-CU-251005,6,1st,Karson Bridges,Female,59,06-12-2012,16-May-16,L12557,"£44,949.00",GEN-65,Paris
TL-CU-251006,3,3rd,Elora Houston,Female,32,07-12-2012,17-May-16,E25418,"£70,743.00",PVT-55,London
TL-CU-251007,4,2nd,Sylas Pineda,Male,31,08-12-2012,18-May-16,R26455,"£55,998.00",CLS-22,Queenstown
TL-CU-251008,6,3rd,Nola Doyle,Male,56,09-12-2012,19-May-16,A65525,"£77,871.00",GEN-66,Naples
TL-CU-251009,2,2nd,Kashton Santana,Female,47,10-12-2012,20-May-16,D25487,"£33,363.00",PVT-56,Pula
TL-CU-251010,4,1st,Myra Stafford,Male,35,11-12-2012,21-May-16,B45875,"£53,028.00",CLS-23,Rome
TL-CU-251011,2,1st,Alfredo Waller,Female,42,12-12-2012,22-May-16,P14785,"£22,783.00",GEN-67,Valencia
TL-CU-251012,4,3rd,Whitley Webster,Female,49,13-12-2012,23-May-16,Y98547,"£46,251.00",PVT-57,Qran
TL-CU-251013,5,2nd,Shawn Shepherd,Male,35,14-12-2012,24-May-16,C21545,"£34,598.00",CLS-24,Nador
TL-CU-251014,1,3rd,Katalina Willis,Male,35,15-12-2012,25-May-16,V54125,"£75,964.00",GEN-68,Malaga
TL-CU-251015,5,2nd,Remington Reynolds,Female,34,16-12-2012,26-May-16,K26488,"£49,026.00",PVT-58,Palma
TL-CU-251016,5,1st,Isabelle Reed,Male,36,17-12-2012,27-May-16,L12558,"£33,022.00",CLS-25,Algeris
TL-CU-251017,6,1st,Easton Thompson,Female,30,18-12-2012,28-May-16,E25419,"£29,056.00",GEN-69,Badalona
TL-CU-251018,2,3rd,Madison Rosas,Female,40,19-12-2012,29-May-16,R26456,"£51,813.00",PVT-59,Jijel
TL-CU-251019,5,2nd,Remi Franco,Male,47,20-12-2012,30-May-16,A65526,"£59,991.00",CLS-26,Nice
TL-CU-251020,4,3rd,Charleigh Wong,Male,34,21-12-2012,31-May-16,D25488,"£33,712.00",GEN-70,Annaba
TL-CU-251021,6,2nd,Walter Ochoa,Female,52,22-12-2012,01-Jun-16,B45876,"£24,844.00",PVT-60,Bizerte
TL-CU-251022,1,1st,Luciana Jennings,Male,42,23-12-2012,02-Jun-16,P14786,"£32,404.00",CLS-27,Tunis
TL-CU-251023,1,1st,Corbin Chandler,Female,54,24-12-2012,03-Jun-16,Y98548,"£79,000.00",GEN-71,Sfax
TL-CU-251024,1,3rd,Viviana Payne,Female,35,25-12-2012,04-Jun-16,C21546,"£53,714.00",PVT-61,Venice
TL-CU-251025,5,2nd,Edward Herman,Male,51,26-12-2012,05-Jun-16,V54126,"£22,080.00",CLS-28,Zliten
TL-CU-251026,1,3rd,Paulina Patton,Male,49,27-12-2012,06-Jun-16,K26489,"£29,313.00",GEN-72,Palermo
TL-CU-251027,6,2nd,Moises Hanna,Female,36,28-12-2012,07-Jun-16,L12559,"£24,784.00",PVT-62,Zawiya
TL-CU-251028,6,1st,Cynthia Vu,Male,39,29-12-2012,08-Jun-16,E25420,"£27,030.00",CLS-29,Cherbourg
